Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude,Use Location
46,Mnt Vernon G,Analogue,	462.57500,	467.57500,25,,,,,,,,None,136.5,Disabled,Master,No,No,No,0,Off,No,No,None,38.7224,-77.1155,Yes
47,W Alexandria G,Analogue,	462.60000,	467.60000,25,,,,,,,,None,141.3,Disabled,Master,No,No,No,0,Off,No,No,None,38.8119,-77.1374,Yes
48,WSDH649 G,Analogue,	462.60000,	467.60000,25,,,,,,,,None,100.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.4639,-77.4822,Yes
49,NW Alexandria G,Analogue,	462.62500,	127.00000,25,,,,,,,,None,123.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.8325,-77.0994,Yes
50,Bull Run Mtn G,Analogue,	462.65000,	467.65000,25,,,,,,,,None,146.2,Disabled,Master,No,No,No,0,Off,No,No,None,38.9056,-77.6704,Yes
51,Seven Corners1 G,Analogue,	462.67500,	467.67500,25,,,,,,,,None,141.3,Disabled,Master,No,No,No,0,Off,No,No,None,38.8743,77.149,Yes
52,N3KL 2m,Analogue,	145.13000,	144.53000,25,,,,,,,,None,107.2,Disabled,Master,No,No,No,0,Off,No,No,None,38.8118,-77.6363,Yes
53,WB4MJF 2m,Analogue,	145.15000,	144.55000,25,,,,,,,,None,107.2,Disabled,Master,No,No,No,0,Off,No,No,None,38.88,-77.1066,Yes
54,WB6EFW 2m,Analogue,	145.18500,	144.58500,25,,,,,,,,None,103.5,Disabled,Master,No,No,No,0,Off,No,No,None,39.071,-77.4815,Yes
55,W4WVP 2m,Analogue,	145.47000,	144.87000,25,,,,,,,,None,107.2,Disabled,Master,No,No,No,0,Off,No,No,None,38.8798,-77.1067,Yes
56,W4AVA 2m,Analogue,	146.62500,	146.02500,25,,,,,,,,None,107.2,Disabled,Master,No,No,No,0,Off,No,No,None,38.8724,-77.161,Yes
57,NV4FM 2m,Analogue,	146.91000,	146.31000,25,,,,,,,,None,77.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.9052,-77.2159,Yes
58,W4OVH 2m,Analogue,	146.97000,	146.37000,25,,,,,,,,None,100.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.7834,-77.5222,Yes
59,W4VA 2m,Analogue,	146.16500,	146.76500,25,,,,,,,,None,167.9,Disabled,Master,No,No,No,0,Off,No,No,None,38.7135,-77.7951,Yes
60,Fairfax Hosp 2m,Analogue,	147.21000,	147.81000,25,,,,,,,,None,110.9,Disabled,Master,No,No,No,0,Off,No,No,None,38.8572,-77.2281,Yes
61,W4IY 2m,Analogue,	147.24000,	147.84000,25,,,,,,,,None,107.2,Disabled,Master,No,No,No,0,Off,No,No,None,38.6856,-77.316,Yes
62,W4HFH 2m,Analogue,	147.31500,	147.91500,25,,,,,,,,None,107.2,Disabled,Master,No,No,No,0,Off,No,No,None,38.8346,-77.0978,Yes
63,DullesAirport 2m,Analogue,	147.33000,	147.93000,25,,,,,,,,None,203.5,Disabled,Master,No,No,No,0,Off,No,No,None,38.9506,-77.4476,Yes
64,K3FBI 2m,Analogue,	147.34500,	147.94500,25,,,,,,,,None,167.9,Disabled,Master,No,No,No,0,Off,No,No,None,38.5318,-77.446,Yes
65,Atrium 2m,Analogue,	147.37000,	147.97000,25,,,,,,,,None,131.8,Disabled,Master,No,No,No,0,Off,No,No,None,38.9517,-77.333,Yes
66,WS4VA 2m,Analogue,	147.37500,	147.97500,25,,,,,,,,None,79.7,Disabled,Master,No,No,No,0,Off,No,No,None,38.4672,-77.4604,Yes
67,WA4HIS 1.25m,Analogue,	224.06000,	222.46000,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,38.8797,-77.1067,Yes
68,NV4FM 1.25m,Analogue,	224.10000,	222.50000,25,,,,,,,,None,77.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.8568,-77.3619,Yes
69,W4OVH 1.25m,Analogue,	224.66000,	223.06000,25,,,,,,,,None,100.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.7826,-77.5058,Yes
70,W4IY 1.25m,Analogue,	224.78000,	223.18000,25,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No,None,38.6856,77.316,Yes
71,W4HFH 1.25m,Analogue,	224.82000,	223.22000,25,,,,,,,,None,107.2,Disabled,Master,No,No,No,0,Off,No,No,None,38.8346,77.0978,Yes
72,W4CIA 70c,Analogue,	441.45000,	446.45000,25,,,,,,,,None,110.9,Disabled,Master,No,No,No,0,Off,No,No,None,38.8798,-77.1066,Yes
73,WA4TXE 70c,Analogue,	442.10000,	447.10000,25,,,,,,,,None,77.0,Disabled,Master,No,No,No,0,Off,No,No,None,39.1157,-77.5636,Yes
74,W4OVH 70c,Analogue,	442.20000,	447.20000,25,,,,,,,,None,100.0,Disabled,Master,No,No,No,0,Off,No,No,None,38.7826,77.5058,Yes
75,W4VA 70c,Analogue,	442.25000,	447.25000,25,,,,,,,,None,167.9,Disabled,Master,No,No,No,0,Off,No,No,None,38.8724,77.161,Yes
